,Unnamed: 0,model,line,lead_time,period,release_date,release_t,lead_t,to_be_deliver,release_time
2,2,'PN_4842_1','line16',4,3.839766082,0,0,4,1/7/2019,1/2/2019
11,12,'PN_5218_1','line16',6,1.859848485,4,4,6,1/9/2019,1/7/2019
5,5,'PN_5121_1','line16',7,1.386745347,6,6,7,1/10/2019,1/9/2019
3,3,'PN_4981_1','line16',12,5.402426694,7,7,12,1/16/2019,1/10/2019
14,15,'PN_5255_1','line17',11,11.16032609,0,0,11,1/15/2019,1/2/2019
0,0,'PN_4756_1','line17',33,20.85034014,12,12,33,2/22/2019,1/16/2019
15,16,'PN_5318_1','line17',49,16.13548387,33,33,49,3/13/2019,2/22/2019
1,1,'PN_4756_2_1','line17',67,17.74652778,49,49,67,4/3/2019,3/13/2019
8,9,'PN_5184_1','line17',80,12.73684211,67,67,80,4/19/2019,4/3/2019
16,17,'PN_5450_1','line17',86,6.087431694,80,80,86,4/26/2019,4/19/2019
9,10,'PN_5202_1','line17',95,8.961864407,86,86,95,5/9/2019,4/26/2019
13,14,'PN_5253_1','line17',105,10.29482759,95,95,105,5/21/2019,5/9/2019
6,6,'PN_5156_1','line17',107,1.66875,105,105,107,5/23/2019,5/21/2019
12,13,'PN_5218_1','line4',22,21.88318777,0,0,22,1/28/2019,1/2/2019
18,19,'PN_5170_1','line4',45,22.97959184,22,22,45,3/8/2019,1/28/2019
10,11,'PN_5214_1','line4',54,9.102013423,45,45,54,3/19/2019,3/8/2019
17,18,'PN_5582_1','line4',55,1.187381533,54,54,55,3/20/2019,3/19/2019
7,7,'PN_5156_1','line4',79,23.58101852,55,55,79,4/18/2019,3/20/2019
4,4,'PN_5081_1','line4',91,13.23907104,79,79,91,5/4/2019,4/18/2019
